code,age,ageValue
E09000014,age19,2624
E09000014,age20,2591
E09000014,age21,2780
E09000014,age22,3144
E09000014,age23,3761
E09000014,age24,4087
E09000014,age25,4355
E09000014,age26,4723
E09000014,age27,4883
E09000014,age28,5019
E09000014,age29,5021
E09000014,age30,5234
E09000014,age31,5274
E09000014,age32,5203
E09000014,age33,5233
E09000014,age34,4958
E09000014,age35,4960
E09000014,age36,4976
E09000014,age37,4637
E09000014,age38,4566
E09000014,age39,4467
E09000014,age40,4483
E09000014,age41,4490
E09000014,age42,4310
E09000014,age43,4008
E09000014,age44,3862
E09000014,age45,3914
E09000014,age46,4004
E09000014,age47,3721
E09000014,age48,3739
E09000014,age49,3793
E09000014,age50,4038
E09000014,age51,3585
E09000014,age52,3690
E09000014,age53,3725
E09000014,age54,3483
E09000014,age55,3581
E09000014,age56,3381
E09000014,age57,3199
E09000014,age58,3105
E09000014,age59,2831
E09000014,age60,2707
E09000014,age61,2567
E09000014,age62,2278
E09000014,age63,2254
E09000014,age64,2092
E09000015,age16,3394
E09000015,age17,3390
E09000015,age18,2776
E09000015,age19,2212
E09000015,age20,2327
E09000015,age21,2537
E09000015,age22,3136
E09000015,age23,3530
E09000015,age24,3602
E09000015,age25,3648
E09000015,age26,3663
E09000015,age27,3642
E09000015,age28,3743
E09000015,age29,3771
E09000015,age30,3875
E09000015,age31,4084
E09000015,age32,4166
E09000015,age33,4238
E09000015,age34,4095
E09000015,age35,4338
E09000015,age36,4234
E09000015,age37,4172
E09000015,age38,4108
E09000015,age39,4278
E09000015,age40,4209
E09000015,age41,4026
E09000015,age42,4087
E09000015,age43,3882
E09000015,age44,3723
E09000015,age45,3525
E09000015,age46,3566
E09000015,age47,3349
E09000015,age48,3236
E09000015,age49,3329
E09000015,age50,3253
E09000015,age51,3391
E09000015,age52,3393
E09000015,age53,3170
E09000015,age54,3137
E09000015,age55,3159
E09000015,age56,3087
E09000015,age57,3099
E09000015,age58,2999
E09000015,age59,3011
E09000015,age60,3059
E09000015,age61,2803
E09000015,age62,2802
E09000015,age63,2563
E09000015,age64,2623
E09000016,age16,3167
E09000016,age17,3063
E09000016,age18,2753
E09000016,age19,2380
E09000016,age20,2368
E09000016,age21,2631
E09000016,age22,2952
E09000016,age23,2998
E09000016,age24,3157
E09000016,age25,3180
E09000016,age26,3327
E09000016,age27,3294
E09000016,age28,3506
E09000016,age29,3635
E09000016,age30,3704
E09000016,age31,3749
E09000016,age32,3916
E09000016,age33,4011
E09000016,age34,3911
E09000016,age35,3971
