code,category,value,areaName
E09000026,studentSelfFT,353,Redbridge
E09000026,studentJobSeeking,1617,Redbridge
E09000026,retired,34086,Redbridge
E09000026,student,18312,Redbridge
E09000026,care,19490,Redbridge
E09000026,sick,7454,Redbridge
E09000026,otherInactive,10212,Redbridge
E09000027,employeePT,14360,Richmond upon Thames
E09000027,employeeFT,59074,Richmond upon Thames
E09000027,selfEmployerPT,708,Richmond upon Thames
E09000027,selfEmployerFT,2697,Richmond upon Thames
E09000027,selfPT,9362,Richmond upon Thames
E09000027,selfFT,9525,Richmond upon Thames
E09000027,jobSeeking,4630,Richmond upon Thames
E09000027,studentEmployeePT,1212,Richmond upon Thames
E09000027,studentEmployeeFT,329,Richmond upon Thames
E09000027,studentSelfEmployerPT,14,Richmond upon Thames
E09000027,studentSelfEmployerFT,9,Richmond upon Thames
E09000027,studentSelfPT,216,Richmond upon Thames
E09000027,studentSelfFT,60,Richmond upon Thames
E09000027,studentJobSeeking,625,Richmond upon Thames
E09000027,retired,28245,Richmond upon Thames
E09000027,student,9284,Richmond upon Thames
E09000027,care,7912,Richmond upon Thames
E09000027,sick,3492,Richmond upon Thames
E09000027,otherInactive,4081,Richmond upon Thames
E09000028,employeePT,26084,Southwark
E09000028,employeeFT,107612,Southwark
E09000028,selfEmployerPT,956,Southwark
E09000028,selfEmployerFT,2767,Southwark
E09000028,selfPT,10349,Southwark
E09000028,selfFT,12831,Southwark
E09000028,jobSeeking,11720,Southwark
E09000028,studentEmployeePT,3869,Southwark
E09000028,studentEmployeeFT,1541,Southwark
E09000028,studentSelfEmployerPT,64,Southwark
E09000028,studentSelfEmployerFT,37,Southwark
E09000028,studentSelfPT,648,Southwark
E09000028,studentSelfFT,193,Southwark
E09000028,studentJobSeeking,2547,Southwark
E09000028,retired,21910,Southwark
E09000028,student,21545,Southwark
E09000028,care,10658,Southwark
E09000028,sick,10004,Southwark
E09000028,otherInactive,10804,Southwark
E09000029,employeePT,19847,Sutton
E09000029,employeeFT,62981,Sutton
E09000029,selfEmployerPT,727,Sutton
E09000029,selfEmployerFT,2197,Sutton
E09000029,selfPT,6913,Sutton
E09000029,selfFT,9331,Sutton
E09000029,jobSeeking,4867,Sutton
E09000029,studentEmployeePT,1550,Sutton
E09000029,studentEmployeeFT,435,Sutton
E09000029,studentSelfEmployerPT,14,Sutton
E09000029,studentSelfEmployerFT,13,Sutton
E09000029,studentSelfPT,154,Sutton
E09000029,studentSelfFT,64,Sutton
E09000029,studentJobSeeking,717,Sutton
E09000029,retired,29291,Sutton
E09000029,student,8198,Sutton
E09000029,care,8447,Sutton
E09000029,sick,5084,Sutton
E09000029,otherInactive,4829,Sutton
E09000030,employeePT,25549,Tower Hamlets
E09000030,employeeFT,100574,Tower Hamlets
E09000030,selfEmployerPT,1056,Tower Hamlets
E09000030,selfEmployerFT,2055,Tower Hamlets
E09000030,selfPT,9098,Tower Hamlets
