code,hours_worked,hours_workedValue
E07000112,31_48,27109
E07000112,49plus,5549
E07000113,15less,6660
E07000113,16_30,12860
E07000113,31_48,40567
E07000113,49plus,9116
E07000114,15less,6864
E07000114,16_30,13294
E07000114,31_48,32623
E07000114,49plus,6409
E07000115,15less,6872
E07000115,16_30,11657
E07000115,31_48,37086
E07000115,49plus,8811
E07000116,15less,6414
E07000116,16_30,10239
E07000116,31_48,31163
E07000116,49plus,8082
E07000117,15less,3348
E07000117,16_30,8506
E07000117,31_48,25374
E07000117,49plus,2806
E07000118,15less,5123
E07000118,16_30,10621
E07000118,31_48,35318
E07000118,49plus,6182
E07000119,15less,4034
E07000119,16_30,7041
E07000119,31_48,20822
E07000119,49plus,3818
E07000120,15less,2893
E07000120,16_30,7104
E07000120,31_48,22795
E07000120,49plus,2837
E07000121,15less,7586
E07000121,16_30,13750
E07000121,31_48,34451
E07000121,49plus,6613
E07000122,15less,3909
E07000122,16_30,8893
E07000122,31_48,23657
E07000122,49plus,3164
E07000123,15less,6930
E07000123,16_30,14263
E07000123,31_48,40027
E07000123,49plus,5414
E07000124,15less,3132
E07000124,16_30,5548
E07000124,31_48,17587
E07000124,49plus,4118
E07000125,15less,2925
E07000125,16_30,6446
E07000125,31_48,20294
E07000125,49plus,3451
E07000126,15less,4603
E07000126,16_30,10088
E07000126,31_48,34628
E07000126,49plus,5392
E07000127,15less,5810
E07000127,16_30,10517
E07000127,31_48,31281
E07000127,49plus,5938
E07000128,15less,5094
E07000128,16_30,10310
E07000128,31_48,27049
E07000128,49plus,5382
E07000129,15less,4611
E07000129,16_30,9952
E07000129,31_48,31671
E07000129,49plus,5212
E07000130,15less,8944
E07000130,16_30,16641
E07000130,31_48,50718
E07000130,49plus,8496
E07000131,15less,5206
E07000131,16_30,9101
E07000131,31_48,27964
E07000131,49plus,6500
E07000132,15less,5034
E07000132,16_30,10548
E07000132,31_48,34150
E07000132,49plus,6154
E07000133,15less,2750
E07000133,16_30,4973
E07000133,31_48,14288
E07000133,49plus,3453
E07000134,15less,4760
E07000134,16_30,9170
E07000134,31_48,31766
E07000134,49plus,6265
E07000135,15less,2593
E07000135,16_30,5446
E07000135,31_48,15716
E07000135,49plus,2234
E07000136,15less,2729
E07000136,16_30,6652
E07000136,31_48,19918
E07000136,49plus,4332
E07000137,15less,6577
E07000137,16_30,12738
E07000137,31_48,28556
E07000137,49plus,7706
E07000138,15less,5591
E07000138,16_30,9417
E07000138,31_48,27478
E07000138,49plus,4232
E07000139,15less,5354
E07000139,16_30,10529
E07000139,31_48,33773
E07000139,49plus,7236
E07000140,15less,3790
E07000140,16_30,7951
E07000140,31_48,26644
E07000140,49plus,6849
E07000141,15less,6832
E07000141,16_30,12955
E07000141,31_48,39658
E07000141,49plus,8748
E07000142,15less,4505
E07000142,16_30,8489
E07000142,31_48,23610
E07000142,49plus,5532
E07000143,15less,7119
E07000143,16_30,12862
E07000143,31_48,36910
E07000143,49plus,8747
E07000144,15less,7120
E07000144,16_30,13671
E07000144,31_48,35015
E07000144,49plus,6783
E07000145,15less,4801
E07000145,16_30,9487
E07000145,31_48,22422
E07000145,49plus,4429
E07000146,15less,7291
E07000146,16_30,14231
E07000146,31_48,38895
E07000146,49plus,8803
E07000147,15less,6006
E07000147,16_30,9703
E07000147,31_48,20901
E07000147,49plus,5048
E07000148,15less,8039
E07000148,16_30,13934
E07000148,31_48,38164
E07000148,49plus,5585
E07000149,15less,7628
E07000149,16_30,14089
E07000149,31_48,37418
E07000149,49plus,8614
E07000163,15less,3345
E07000163,16_30,5467
E07000163,31_48,14333
E07000163,49plus,3986
E07000164,15less,4721
E07000164,16_30,8795
E07000164,31_48,23371
E07000164,49plus,6517
E07000165,15less,8848
E07000165,16_30,15522
E07000165,31_48,44623
E07000165,49plus,10692
E07000166,15less,2660
E07000166,16_30,4618
E07000166,31_48,13002
E07000166,49plus,4399
E07000167,15less,3093
E07000167,16_30,5393
E07000167,31_48,13478
E07000167,49plus,3997
E07000168,15less,5623
E07000168,16_30,11198
E07000168,31_48,24536
E07000168,49plus,5192
E07000169,15less,4192
E07000169,16_30,8552
E07000169,31_48,27566
E07000169,49plus,5814
E07000170,15less,4786
E07000170,16_30,11451
E07000170,31_48,36725
E07000170,49plus,5468
E07000171,15less,5143
E07000171,16_30,11315
E07000171,31_48,32043
E07000171,49plus,6416
E07000172,15less,4985
E07000172,16_30,10317
E07000172,31_48,31844
E07000172,49plus,4768
E07000173,15less,5149
E07000173,16_30,11699
E07000173,31_48,33903
E07000173,49plus,5438
E07000174,15less,4360
E07000174,16_30,10413
E07000174,31_48,31414
E07000174,49plus,5180
E07000175,15less,5734
E07000175,16_30,10882
E07000175,31_48,33327
E07000175,49plus,7171
E07000176,15less,5799
E07000176,16_30,10725
E07000176,31_48,33528
E07000176,49plus,6924
E07000177,15less,7825
E07000177,16_30,14807
E07000177,31_48,52841
E07000177,49plus,9499
E07000178,15less,8857
E07000178,16_30,12717
E07000178,31_48,43899
E07000178,49plus,7853
E07000179,15less,8124
E07000179,16_30,13391
E07000179,31_48,45106
E07000179,49plus,9855
E07000180,15less,6631
E07000180,16_30,12180
E07000180,31_48,43896
E07000180,49plus,8157
E07000181,15less,6256
E07000181,16_30,10579
E07000181,31_48,34764
E07000181,49plus,7327
E07000187,15less,7295
E07000187,16_30,12210
E07000187,31_48,28981
E07000187,49plus,7182
E07000188,15less,6263
E07000188,16_30,12027
E07000188,31_48,33555
E07000188,49plus,7302
E07000189,15less,8630
E07000189,16_30,16839
E07000189,31_48,45912
E07000189,49plus,9548
E07000192,15less,4216
E07000192,16_30,9390
E07000192,31_48,29813
E07000192,49plus,5458
E07000193,15less,5484
E07000193,16_30,10958
E07000193,31_48,36028
E07000193,49plus,6848
E07000194,15less,5262
E07000194,16_30,9415
E07000194,31_48,29257
E07000194,49plus,6538
E07000195,15less,5257
E07000195,16_30,11231
E07000195,31_48,34557
E07000195,49plus,5637
E07000196,15less,5183
E07000196,16_30,9920
E07000196,31_48,29642
E07000196,49plus,5954
E07000197,15less,6261
E07000197,16_30,12044
E07000197,31_48,39195
E07000197,49plus,8266
E07000198,15less,4598
E07000198,16_30,8957
E07000198,31_48,25615
E07000198,49plus,5865
E07000199,15less,3248
E07000199,16_30,7059
E07000199,31_48,24114
E07000199,49plus,3737
E07000200,15less,5421
E07000200,16_30,8912
E07000200,31_48,23369
E07000200,49plus,5255
E07000202,15less,6730
