code,category,value
E14000536,age71,1288
E14000536,age72,1331
E14000536,age73,1481
E14000536,age74,1499
E14000536,age75,1101
E14000536,age76,1189
E14000536,age77,1061
E14000536,age78,957
E14000536,age79,791
E14000536,age80,728
E14000536,age81,756
E14000536,age82,693
E14000536,age83,593
E14000536,age84,562
E14000536,age85,502
E14000536,age86,441
E14000536,age87,362
E14000536,age88,345
E14000536,age89,314
E14000536,age90,266
E14000536,age91,199
E14000536,age92,169
E14000536,age93,110
E14000536,age94,104
E14000536,age95,71
E14000536,age96,50
E14000536,age97,44
E14000536,age98,20
E14000536,age99,19
E14000536,over100,28
E14000537,under1,1110
E14000537,age1,1122
E14000537,age2,1215
E14000537,age3,1123
E14000537,age4,1208
E14000537,age5,1217
E14000537,age6,1169
E14000537,age7,1236
E14000537,age8,1269
E14000537,age9,1320
E14000537,age10,1327
E14000537,age11,1277
E14000537,age12,1175
E14000537,age13,1165
E14000537,age14,1235
E14000537,age15,1168
E14000537,age16,1184
E14000537,age17,1065
E14000537,age18,1001
E14000537,age19,940
E14000537,age20,879
E14000537,age21,955
E14000537,age22,1052
E14000537,age23,1105
E14000537,age24,1290
E14000537,age25,1309
E14000537,age26,1235
E14000537,age27,1321
E14000537,age28,1326
E14000537,age29,1389
E14000537,age30,1424
E14000537,age31,1379
E14000537,age32,1453
E14000537,age33,1386
E14000537,age34,1318
E14000537,age35,1348
E14000537,age36,1346
E14000537,age37,1250
E14000537,age38,1304
E14000537,age39,1177
E14000537,age40,1262
E14000537,age41,1196
E14000537,age42,1174
E14000537,age43,984
E14000537,age44,1189
E14000537,age45,1157
E14000537,age46,1072
E14000537,age47,1103
E14000537,age48,1204
E14000537,age49,1300
E14000537,age50,1276
E14000537,age51,1347
E14000537,age52,1368
E14000537,age53,1343
E14000537,age54,1489
E14000537,age55,1446
E14000537,age56,1471
E14000537,age57,1292
E14000537,age58,1383
E14000537,age59,1216
E14000537,age60,1291
E14000537,age61,1139
E14000537,age62,1097
E14000537,age63,1098
E14000537,age64,1042
E14000537,age65,967
E14000537,age66,830
E14000537,age67,891
E14000537,age68,858
E14000537,age69,874
E14000537,age70,845
E14000537,age71,878
E14000537,age72,822
E14000537,age73,948
E14000537,age74,968
E14000537,age75,647
E14000537,age76,730
E14000537,age77,652
E14000537,age78,682
E14000537,age79,545
E14000537,age80,494
E14000537,age81,489
E14000537,age82,511
E14000537,age83,473
E14000537,age84,416
E14000537,age85,322
E14000537,age86,253
E14000537,age87,242
E14000537,age88,190
E14000537,age89,194
E14000537,age90,156
E14000537,age91,125
E14000537,age92,73
E14000537,age93,53
E14000537,age94,52
E14000537,age95,30
E14000537,age96,15
E14000537,age97,11
E14000537,age98,11
E14000537,age99,10
E14000537,over100,10
E14000538,under1,1544
E14000538,age1,1615
E14000538,age2,1533
E14000538,age3,1708
E14000538,age4,1706
E14000538,age5,1709
E14000538,age6,1669
E14000538,age7,1580
E14000538,age8,1717
E14000538,age9,1720
E14000538,age10,1655
E14000538,age11,1625
E14000538,age12,1588
E14000538,age13,1536
E14000538,age14,1472
E14000538,age15,1351
E14000538,age16,1484
E14000538,age17,1498
E14000538,age18,1279
E14000538,age19,1162
E14000538,age20,1127
E14000538,age21,1107
E14000538,age22,1253
E14000538,age23,1330
E14000538,age24,1510
E14000538,age25,1568
E14000538,age26,1583
E14000538,age27,1728
E14000538,age28,1641
E14000538,age29,1797
E14000538,age30,1872
E14000538,age31,1759
E14000538,age32,1865
E14000538,age33,1967
E14000538,age34,1810
E14000538,age35,1934
E14000538,age36,1861
E14000538,age37,1822
E14000538,age38,1904
E14000538,age39,1835
E14000538,age40,1882
E14000538,age41,1903
E14000538,age42,1843
E14000538,age43,1695
E14000538,age44,1660
E14000538,age45,1568
E14000538,age46,1637
E14000538,age47,1715
E14000538,age48,1751
E14000538,age49,1761
E14000538,age50,1782
E14000538,age51,1724
E14000538,age52,1760
E14000538,age53,1683
E14000538,age54,1875
E14000538,age55,1648
E14000538,age56,1722
E14000538,age57,1685
E14000538,age58,1640
E14000538,age59,1461
E14000538,age60,1494
E14000538,age61,1401
E14000538,age62,1337
E14000538,age63,1244
E14000538,age64,1173
E14000538,age65,1124
E14000538,age66,1099
E14000538,age67,1021
E14000538,age68,1067
E14000538,age69,1077
E14000538,age70,975
E14000538,age71,965
E14000538,age72,1112
E14000538,age73,1117
E14000538,age74,1082
E14000538,age75,758
E14000538,age76,847
E14000538,age77,818
E14000538,age78,702
E14000538,age79,668
E14000538,age80,533
E14000538,age81,556
E14000538,age82,577
E14000538,age83,487
E14000538,age84,458
E14000538,age85,396
E14000538,age86,373
E14000538,age87,310
E14000538,age88,317
E14000538,age89,268
E14000538,age90,211
E14000538,age91,148
E14000538,age92,151
E14000538,age93,110
E14000538,age94,87
E14000538,age95,60
E14000538,age96,47
E14000538,age97,26
E14000538,age98,20
E14000538,age99,16
E14000538,over100,33
E14000539,under1,1559
E14000539,age1,1676
E14000539,age2,1640
E14000539,age3,1693
E14000539,age4,1668
E14000539,age5,1649
E14000539,age6,1605
E14000539,age7,1552
E14000539,age8,1625
E14000539,age9,1694
E14000539,age10,1684
E14000539,age11,1714
E14000539,age12,1675
E14000539,age13,1701
E14000539,age14,1676
E14000539,age15,1616
E14000539,age16,1599
E14000539,age17,1541
E14000539,age18,1343
E14000539,age19,1079
E14000539,age20,1059
E14000539,age21,1254
E14000539,age22,1414
E14000539,age23,1492
E14000539,age24,1622
E14000539,age25,1688
E14000539,age26,1793
E14000539,age27,1879
E14000539,age28,1972
E14000539,age29,2004
E14000539,age30,2082
E14000539,age31,2066
E14000539,age32,2144
E14000539,age33,2169
E14000539,age34,2172
E14000539,age35,2120
E14000539,age36,2134
E14000539,age37,2033
E14000539,age38,2065
E14000539,age39,1920
E14000539,age40,2012
E14000539,age41,1967
E14000539,age42,1870
E14000539,age43,1763
E14000539,age44,1731
E14000539,age45,1720
E14000539,age46,1816
E14000539,age47,1791
E14000539,age48,1938
E14000539,age49,1891
E14000539,age50,1891
E14000539,age51,1959
E14000539,age52,1996
E14000539,age53,1964
E14000539,age54,1999
E14000539,age55,2000
E14000539,age56,1932
E14000539,age57,1857
E14000539,age58,1805
E14000539,age59,1713
E14000539,age60,1626
E14000539,age61,1544
E14000539,age62,1408
E14000539,age63,1400
E14000539,age64,1427
E14000539,age65,1274
E14000539,age66,1210
E14000539,age67,1217
E14000539,age68,1148
E14000539,age69,1215
E14000539,age70,1158
E14000539,age71,1214
E14000539,age72,1211
E14000539,age73,1291
E14000539,age74,1246
E14000539,age75,910
E14000539,age76,999
E14000539,age77,912
E14000539,age78,843
E14000539,age79,689
E14000539,age80,640
E14000539,age81,638
E14000539,age82,633
E14000539,age83,563
E14000539,age84,510
E14000539,age85,437
E14000539,age86,459
E14000539,age87,324
E14000539,age88,308
E14000539,age89,260
E14000539,age90,253
E14000539,age91,183
E14000539,age92,152
E14000539,age93,122
E14000539,age94,103
E14000539,age95,72
E14000539,age96,47
E14000539,age97,42
E14000539,age98,19
E14000539,age99,26
E14000539,over100,35
E14000540,under1,2139
E14000540,age1,2369
E14000540,age2,2321
E14000540,age3,2412
E14000540,age4,2487
E14000540,age5,2541
E14000540,age6,2366
E14000540,age7,2392
E14000540,age8,2502
E14000540,age9,2588
E14000540,age10,2537
E14000540,age11,2360
E14000540,age12,2485
E14000540,age13,2423
E14000540,age14,2414
E14000540,age15,2254
E14000540,age16,2223
E14000540,age17,2060
E14000540,age18,1998
E14000540,age19,1700
E14000540,age20,1672
E14000540,age21,1611
E14000540,age22,1864
E14000540,age23,1903
E14000540,age24,1879
E14000540,age25,2009
E14000540,age26,1990
E14000540,age27,2033
E14000540,age28,2072
E14000540,age29,2159
E14000540,age30,2245
E14000540,age31,2379
E14000540,age32,2575
E14000540,age33,2540
E14000540,age34,2553
E14000540,age35,2551
E14000540,age36,2650
E14000540,age37,2504
E14000540,age38,2593
E14000540,age39,2469
E14000540,age40,2537
E14000540,age41,2401
E14000540,age42,2465
E14000540,age43,2164
E14000540,age44,2180
E14000540,age45,2086
E14000540,age46,2122
E14000540,age47,2023
E14000540,age48,1866
E14000540,age49,1949
E14000540,age50,1931
E14000540,age51,1920
E14000540,age52,1861
E14000540,age53,1834
E14000540,age54,1610
E14000540,age55,1638
E14000540,age56,1543
E14000540,age57,1420
E14000540,age58,1513
E14000540,age59,1243
E14000540,age60,1279
E14000540,age61,1147
E14000540,age62,1096
E14000540,age63,960
E14000540,age64,998
E14000540,age65,857
E14000540,age66,856
E14000540,age67,727
E14000540,age68,725
E14000540,age69,601
E14000540,age70,605
E14000540,age71,569
E14000540,age72,534
E14000540,age73,585
E14000540,age74,585
E14000540,age75,443
E14000540,age76,364
E14000540,age77,354
E14000540,age78,357
E14000540,age79,309
E14000540,age80,293
E14000540,age81,325
E14000540,age82,309
E14000540,age83,273
E14000540,age84,232
E14000540,age85,235
E14000540,age86,197
E14000540,age87,169
E14000540,age88,160
E14000540,age89,130
E14000540,age90,122
E14000540,age91,101
E14000540,age92,58
E14000540,age93,54
E14000540,age94,38
E14000540,age95,31
E14000540,age96,28
E14000540,age97,20
E14000540,age98,17
E14000540,age99,9
E14000540,over100,7
E14000541,under1,944
E14000541,age1,1040
E14000541,age2,969
E14000541,age3,1007
E14000541,age4,1031
E14000541,age5,990
E14000541,age6,1027
E14000541,age7,964
E14000541,age8,1080
E14000541,age9,1077
E14000541,age10,1147
E14000541,age11,987
E14000541,age12,1010
E14000541,age13,1038
E14000541,age14,990
E14000541,age15,949
E14000541,age16,988
E14000541,age17,972
E14000541,age18,856
E14000541,age19,757
E14000541,age20,776
E14000541,age21,798
E14000541,age22,976
E14000541,age23,1102
E14000541,age24,1151
E14000541,age25,1224
E14000541,age26,1196
E14000541,age27,1289
E14000541,age28,1384
E14000541,age29,1422
E14000541,age30,1441
E14000541,age31,1283
E14000541,age32,1294
E14000541,age33,1384
E14000541,age34,1295
E14000541,age35,1297
E14000541,age36,1325
E14000541,age37,1258
E14000541,age38,1144
E14000541,age39,1184
E14000541,age40,1166
E14000541,age41,1096
E14000541,age42,974
E14000541,age43,970
E14000541,age44,926
E14000541,age45,952
E14000541,age46,1114
E14000541,age47,1082
E14000541,age48,1228
E14000541,age49,1336
E14000541,age50,1356
E14000541,age51,1319
E14000541,age52,1396
E14000541,age53,1399
E14000541,age54,1400
E14000541,age55,1328
E14000541,age56,1381
E14000541,age57,1286
E14000541,age58,1289
E14000541,age59,1252
E14000541,age60,1158
E14000541,age61,1167
E14000541,age62,1119
E14000541,age63,1080
E14000541,age64,1079
E14000541,age65,987
E14000541,age66,922
E14000541,age67,964
E14000541,age68,890
E14000541,age69,905
E14000541,age70,889
E14000541,age71,892
E14000541,age72,960
E14000541,age73,958
E14000541,age74,924
E14000541,age75,695
E14000541,age76,776
E14000541,age77,665
E14000541,age78,630
E14000541,age79,543
E14000541,age80,516
E14000541,age81,462
E14000541,age82,432
E14000541,age83,447
E14000541,age84,358
E14000541,age85,337
E14000541,age86,271
E14000541,age87,238
E14000541,age88,201
E14000541,age89,168
E14000541,age90,177
E14000541,age91,101
E14000541,age92,96
E14000541,age93,71
E14000541,age94,49
E14000541,age95,46
E14000541,age96,26
E14000541,age97,16
E14000541,age98,19
E14000541,age99,8
E14000541,over100,16
E14000542,under1,1019
E14000542,age1,1032
E14000542,age2,1060
E14000542,age3,1114
E14000542,age4,1121
E14000542,age5,1132
E14000542,age6,1115
E14000542,age7,1118
E14000542,age8,1197
E14000542,age9,1212
E14000542,age10,1092
E14000542,age11,1135
E14000542,age12,1109
E14000542,age13,1097
E14000542,age14,1097
E14000542,age15,1011
E14000542,age16,1045
E14000542,age17,978
E14000542,age18,901
E14000542,age19,823
E14000542,age20,828
E14000542,age21,920
E14000542,age22,1029
E14000542,age23,1061
E14000542,age24,1128
E14000542,age25,1153
E14000542,age26,1219
E14000542,age27,1265
E14000542,age28,1284
E14000542,age29,1376
E14000542,age30,1399
E14000542,age31,1347
E14000542,age32,1290
E14000542,age33,1308
E14000542,age34,1305
E14000542,age35,1160
E14000542,age36,1221
E14000542,age37,1178
E14000542,age38,1153
E14000542,age39,1128
E14000542,age40,1097
E14000542,age41,1190
E14000542,age42,1075
E14000542,age43,916
E14000542,age44,953
E14000542,age45,1072
E14000542,age46,1026
E14000542,age47,1125
E14000542,age48,1191
E14000542,age49,1398
E14000542,age50,1541
E14000542,age51,1320
E14000542,age52,1462
E14000542,age53,1434
E14000542,age54,1372
E14000542,age55,1410
E14000542,age56,1370
E14000542,age57,1348
E14000542,age58,1376
E14000542,age59,1289
E14000542,age60,1286
E14000542,age61,1200
E14000542,age62,1213
E14000542,age63,1169
E14000542,age64,1125
E14000542,age65,1075
E14000542,age66,1005
E14000542,age67,1141
E14000542,age68,987
E14000542,age69,986
E14000542,age70,926
E14000542,age71,936
E14000542,age72,948
E14000542,age73,1046
E14000542,age74,994
E14000542,age75,807
E14000542,age76,864
E14000542,age77,766
E14000542,age78,646
E14000542,age79,567
E14000542,age80,560
E14000542,age81,531
E14000542,age82,476
E14000542,age83,457
E14000542,age84,407
E14000542,age85,398
E14000542,age86,313
E14000542,age87,300
E14000542,age88,262
E14000542,age89,189
E14000542,age90,179
E14000542,age91,119
E14000542,age92,88
E14000542,age93,73
E14000542,age94,54
E14000542,age95,46
E14000542,age96,20
E14000542,age97,30
E14000542,age98,17
E14000542,age99,11
E14000542,over100,12
E14000543,under1,776
E14000543,age1,840
E14000543,age2,930
E14000543,age3,840
E14000543,age4,966
E14000543,age5,951
E14000543,age6,868
