code,category,value
E14000605,technical,6463
E14000605,admin,4697
E14000605,skilledTrade,4735
E14000605,service,3672
E14000605,sales,2569
E14000605,manual,2120
E14000605,elementary,3169
E14000606,N/A,53655
E14000606,management,7346
E14000606,professional,8379
E14000606,technical,6791
E14000606,admin,6135
E14000606,skilledTrade,6061
E14000606,service,4164
E14000606,sales,3591
E14000606,manual,3731
E14000606,elementary,4794
E14000607,N/A,50807
E14000607,management,5168
E14000607,professional,11905
E14000607,technical,6137
E14000607,admin,4376
E14000607,skilledTrade,4305
E14000607,service,3349
E14000607,sales,3276
E14000607,manual,2701
E14000607,elementary,4293
E14000608,N/A,56164
E14000608,management,10936
E14000608,professional,12672
E14000608,technical,8502
E14000608,admin,5037
E14000608,skilledTrade,5619
E14000608,service,4008
E14000608,sales,2916
E14000608,manual,2192
E14000608,elementary,3208
E14000609,N/A,54612
E14000609,management,3652
E14000609,professional,5577
E14000609,technical,4284
E14000609,admin,3490
E14000609,skilledTrade,4778
E14000609,service,4775
E14000609,sales,3536
E14000609,manual,4088
E14000609,elementary,5858
E14000610,N/A,58633
E14000610,management,5999
E14000610,professional,8035
E14000610,technical,5577
E14000610,admin,4721
E14000610,skilledTrade,5683
E14000610,service,4571
E14000610,sales,4018
E14000610,manual,6295
E14000610,elementary,8999
E14000611,N/A,50978
E14000611,management,5164
E14000611,professional,7945
E14000611,technical,5401
E14000611,admin,4036
E14000611,skilledTrade,3835
E14000611,service,3950
E14000611,sales,3523
E14000611,manual,3120
E14000611,elementary,3906
E14000612,N/A,54390
E14000612,management,5948
E14000612,professional,10411
E14000612,technical,6658
E14000612,admin,5038
E14000612,skilledTrade,4203
E14000612,service,4530
E14000612,sales,3831
E14000612,manual,2922
E14000612,elementary,4065
E14000613,N/A,59613
E14000613,management,7738
E14000613,professional,10814
E14000613,technical,8304
E14000613,admin,5418
E14000613,skilledTrade,6578
E14000613,service,5439
E14000613,sales,3993
E14000613,manual,3965
E14000613,elementary,5585
E14000614,N/A,53803
E14000614,management,6942
E14000614,professional,10436
E14000614,technical,7213
E14000614,admin,4679
E14000614,skilledTrade,5374
E14000614,service,4169
E14000614,sales,3055
E14000614,manual,2956
E14000614,elementary,3947
E14000615,N/A,60381
E14000615,management,7948
E14000615,professional,18390
E14000615,technical,11942
E14000615,admin,4573
E14000615,skilledTrade,3518
E14000615,service,6404
E14000615,sales,3905
E14000615,manual,2789
E14000615,elementary,8182
E14000616,N/A,52630
E14000616,management,4885
E14000616,professional,6216
E14000616,technical,4620
E14000616,admin,3650
E14000616,skilledTrade,6607
E14000616,service,5389
E14000616,sales,3649
E14000616,manual,3134
E14000616,elementary,4666
E14000617,N/A,68709
E14000617,management,6778
E14000617,professional,27220
E14000617,technical,7865
E14000617,admin,3816
E14000617,skilledTrade,3363
E14000617,service,4466
E14000617,sales,3239
E14000617,manual,2195
E14000617,elementary,6097
E14000618,N/A,51642
E14000618,management,5429
E14000618,professional,6719
E14000618,technical,5789
E14000618,admin,4675
E14000618,skilledTrade,6953
E14000618,service,4814
E14000618,sales,4112
E14000618,manual,4597
E14000618,elementary,5788
E14000619,N/A,66302
E14000619,management,6045
E14000619,professional,11481
E14000619,technical,6286
E14000619,admin,3707
E14000619,skilledTrade,4418
E14000619,service,4293
E14000619,sales,3674
E14000619,manual,2263
E14000619,elementary,4920
E14000620,N/A,45776
E14000620,management,4094
E14000620,professional,6146
E14000620,technical,4284
E14000620,admin,3843
E14000620,skilledTrade,5005
E14000620,service,4376
E14000620,sales,3849
E14000620,manual,5391
E14000620,elementary,5449
E14000621,N/A,53193
E14000621,management,6808
E14000621,professional,11641
E14000621,technical,6984
E14000621,admin,5622
E14000621,skilledTrade,5292
E14000621,service,4781
E14000621,sales,3512
E14000621,manual,2890
E14000621,elementary,3961
E14000622,N/A,48581
E14000622,management,5373
E14000622,professional,5837
E14000622,technical,5381
E14000622,admin,5352
E14000622,skilledTrade,5501
E14000622,service,3806
E14000622,sales,3106
E14000622,manual,3152
E14000622,elementary,3498
E14000623,N/A,50171
E14000623,management,6398
E14000623,professional,8629
E14000623,technical,5255
E14000623,admin,3830
E14000623,skilledTrade,6999
E14000623,service,4166
E14000623,sales,3030
E14000623,manual,2894
E14000623,elementary,4090
E14000624,N/A,54386
E14000624,management,6895
E14000624,professional,9103
E14000624,technical,6422
E14000624,admin,4997
E14000624,skilledTrade,6038
E14000624,service,4275
E14000624,sales,3488
E14000624,manual,3211
E14000624,elementary,4311
E14000625,N/A,53402
E14000625,management,7267
E14000625,professional,10669
E14000625,technical,7128
E14000625,admin,5392
E14000625,skilledTrade,5764
E14000625,service,4342
E14000625,sales,3601
E14000625,manual,3324
E14000625,elementary,4029
E14000626,N/A,53508
E14000626,management,5417
E14000626,professional,7541
E14000626,technical,6399
E14000626,admin,5045
E14000626,skilledTrade,6266
E14000626,service,4933
E14000626,sales,3726
E14000626,manual,4115
E14000626,elementary,5612
E14000627,N/A,50565
E14000627,management,7658
E14000627,professional,13067
E14000627,technical,6737
E14000627,admin,4545
E14000627,skilledTrade,2954
E14000627,service,3075
E14000627,sales,3102
E14000627,manual,1503
E14000627,elementary,2275
E14000628,N/A,55578
E14000628,management,7776
E14000628,professional,13808
E14000628,technical,8428
E14000628,admin,6067
E14000628,skilledTrade,4876
E14000628,service,4558
E14000628,sales,3844
E14000628,manual,2854
E14000628,elementary,5082
E14000629,N/A,47950
E14000629,management,13479
E14000629,professional,16092
E14000629,technical,10348
E14000629,admin,3435
E14000629,skilledTrade,1596
E14000629,service,3370
E14000629,sales,2167
E14000629,manual,1082
E14000629,elementary,2236
E14000630,N/A,53460
E14000630,management,7192
E14000630,professional,13362
E14000630,technical,7107
E14000630,admin,6159
E14000630,skilledTrade,4392
E14000630,service,4204
E14000630,sales,3898
E14000630,manual,2484
E14000630,elementary,4871
E14000631,N/A,50743
E14000631,management,10180
E14000631,professional,11706
E14000631,technical,6911
E14000631,admin,4131
E14000631,skilledTrade,3602
E14000631,service,3180
E14000631,sales,2435
E14000631,manual,1383
E14000631,elementary,2415
E14000632,N/A,50448
E14000632,management,4542
E14000632,professional,7395
E14000632,technical,4852
E14000632,admin,4093
E14000632,skilledTrade,4739
E14000632,service,5072
E14000632,sales,3830
E14000632,manual,3388
E14000632,elementary,4883
E14000633,N/A,62470
E14000633,management,8659
E14000633,professional,10466
E14000633,technical,7609
E14000633,admin,4190
E14000633,skilledTrade,5878
E14000633,service,4846
E14000633,sales,3381
E14000633,manual,2354
E14000633,elementary,4568
E14000634,N/A,49717
E14000634,management,6855
E14000634,professional,11078
E14000634,technical,6697
E14000634,admin,5037
E14000634,skilledTrade,4394
E14000634,service,3318
E14000634,sales,2702
E14000634,manual,2554
E14000634,elementary,3624
E14000635,N/A,51505
E14000635,management,6950
E14000635,professional,10540
