code,category,value
E14001010,male,42896
E14001011,female,51385
E14001011,male,49037
E14001012,female,54249
E14001012,male,51802
E14001013,female,62665
E14001013,male,59750
E14001014,female,43128
E14001014,male,40163
E14001015,female,66489
E14001015,male,64858
E14001016,female,52384
E14001016,male,50944
E14001017,female,48836
E14001017,male,48124
E14001018,female,57693
E14001018,male,56321
E14001019,female,52980
E14001019,male,53027
E14001020,female,45155
E14001020,male,41884
E14001021,female,65445
E14001021,male,63105
E14001022,female,53213
E14001022,male,50241
E14001023,female,56352
E14001023,male,52520
E14001024,female,47471
E14001024,male,45398
E14001025,female,58819
E14001025,male,56996
E14001026,female,55146
E14001026,male,52384
E14001027,female,58050
E14001027,male,56144
E14001028,female,51570
E14001028,male,49042
E14001029,female,49354
E14001029,male,47072
E14001030,female,51111
E14001030,male,50263
E14001031,female,52841
E14001031,male,48159
E14001032,female,92125
E14001032,male,91957
E14001033,female,52370
E14001033,male,48066
E14001034,female,60581
E14001034,male,61678
E14001035,female,50474
E14001035,male,47747
E14001036,female,58594
E14001036,male,53187
E14001037,female,43208
E14001037,male,41212
E14001038,female,58255
E14001038,male,55307
E14001039,female,52954
E14001039,male,51936
E14001040,female,52222
E14001040,male,48994
E14001041,female,52670
E14001041,male,49601
E14001042,female,55688
E14001042,male,53678
E14001043,female,37549
E14001043,male,35014
E14001044,female,36081
E14001044,male,32836
E14001045,female,49352
E14001045,male,47080
E14001046,female,58106
E14001046,male,56131
E14001047,female,55566
E14001047,male,56053
E14001048,female,61318
E14001048,male,58714
E14001049,female,47571
E14001049,male,45068
E14001050,female,49522
E14001050,male,47416
E14001051,female,43961
E14001051,male,43598
E14001052,female,52999
E14001052,male,50873
E14001053,female,40149
E14001053,male,38688
E14001054,female,55040
E14001054,male,52713
E14001055,female,53420
E14001055,male,48627
E14001056,female,58472
E14001056,male,56552
E14001057,female,49629
E14001057,male,47368
E14001058,female,51785
E14001058,male,49822
E14001059,female,57598
E14001059,male,53983
E14001060,female,57704
E14001060,male,56123
E14001061,female,54112
E14001061,male,50579
E14001062,female,51186
E14001062,male,46944
W07000041,female,35219
W07000041,male,33659
W07000042,female,36129
W07000042,male,34466
W07000043,female,42930
